 name,brand name,type,text,use,mfg,expiry,dosage,color,img_name
Pilogo,leeford,capsule,,"Medicine name is pilogo, it is used in piles, doses are as follow: thrice a day .'",25-Mar-20,06-Sep-22,3 times a day,blue,1
Dailyglim,leeford,tablet,,"Medicine name is dailyglim, it is used in sugar, doses are as follow: thrice a day .'",16-Oct-19,15-Feb-23,3 times a day,while blue,2
Geomax D3,leeford,capsule,,"Medicine name is geomax, it is used to boost calcium, doses are as follow: thrice a day .'",24-Jan-20,04-Apr-21,3 times a day,red,3
Ural,Vasu,capsule,vasu,"Medicine name is ural, it is used for urine infections, doses are as follow: thrice a day .'",12-Mar-20,27-May-22,3 times a day,blue yellow,4
Okacet,cipla,tablet,,"Medicine name is okacet, it is used in cold, doses are as follow: thrice a day .'",17-Jul-20,19-Aug-22,3 times a day,while,5
Telmigen,troikka pharma,tablet,,"Medicine name is telmigen, it is used in sugar, doses are as follow: thrice a day .'",19-Jan-19,11-Mar-22,3 times a day,pink white,6
Spasmonil,cipla,tablet,,"Medicine name is spasmonil, it is used in stomach pain, doses are as follow: thrice a day .'",17-Nov-20,25-Mar-23,3 times a day,white,7
Lynx 500,Lynx,capsule,lynx,"Medicine name is lynx 500, it is used as antibiotic, doses are as follow: thrice a day .'",26-Jan-20,16-Sep-23,3 times a day,red green,8
Cipcoz,leeford,tablet,,"Medicine name is cipcoz, it is used as antibiotic, doses are as follow: thrice a day .'",26-Mar-20,11-Feb-21,3 times a day,white,9
Zandu Vigorax,emami,capsule,zandu ,"Medicine name is zandu vigorax, it is used for stamina, doses are as follow: thrice a day .'",11-Jan-19,30-Sep-20,3 times a day,golden,10
Aclomate,ajnata pharma,tablet,,"Medicine name is aclomate , it is used for controlling blood pressure, doses are as follow: thrice a day .'",13-May-19,17-Jun-21,3 times a day,white yellow,11
Febutax,leeford,tablet,,"Medicine name is febutax , it is used for gout , doses are as follow: thrice a day .'",11-Jul-19,21-Apr-22,3 times a day,orange ,12
CetJoint,leeford,capsule,,"Medicine name is cetjoint, it is used for bone recovery , doses are as follow: thrice a day .'",21-May-20,09-Feb-22,3 times a day,red white,13
Becosules,pfizer limited,capsule,becosules,"Medicine name is becosules , it is used for vitamin b , doses are as follow: thrice a day .'",20-Dec-20,20-May-22,3 times a day,orange black,14
Femozar,leeford,capsule,,"Medicine name is femozar, it is used as pain killer , doses are as follow: thrice a day .'",11-Sep-19,31-Jan-22,3 times a day,red,15
zosert,sunpharma,tablet,,"Medicine name is zosert, it is used as anti depressants , doses are as follow: thrice a day .'",21-May-18,08-Mar-21,3 times a day,blue,16
Sugar Away,international herbal,tablet,,"Medicine name is sugaraway , it is used for controlling sugar  , doses are as follow: thrice a day .'",20-03-2020,09-Jan-21,3 times a day,wooden brown,17
Roko,cipla,capsule,,"Medicine name is roko, it is used for cough , doses are as follow: thrice a day .'",23-Mar-20,25-Dec-23,3 times a day,yellow,18
Escipil,leeford,tablet,,"Medicine name is escipil, it is used for sleep , doses are as follow: thrice a day .'",11-Jan-19,21-Feb-21,3 times a day,yellow,19
Mucolite,Dr Reddy,tablet,,"Medicine name is mucolite, it is used for cough and cold, doses are as follow: thrice a day .'",17-Feb-19,13-Dec-21,3 times a day,white,20
Pamonext,Cadila,tablet,,"Medicine name is pamonext, it is used for controlling multi vitamin, doses are as follow: thrice a day .'",21-Mar-20,13-Sep-22,3 times a day,light brown,21
Crocin,gsk group,tablet,crocin,"Medicine name is crocin , it is used for headache, doses are as follow: thrice a day .'",19-May-18,21-Feb-22,3 times a day,white,22
Plaros,ajnata pharma,tablet,,"Medicine name is plaros , it is used for blood thinning , doses are as follow: thrice a day .'",21-May-19,25-Mar-22,3 times a day,light brown,23
